pdb,junction_bp,junction_stacking,junction_angle,angle,gdt_ts,lddt,tempy_mi,gdt_rank,lddt_rank,mi_rank
R1149TS119_3,True,False,False,-125.16498716937555,27.016,0.7251869754845617,0.011929211,63.0,7.0,10.0
R1149TS035_4,True,True,False,-49.573017986884224,29.032,0.6923691029953806,0.007913735,33.5,36.0,110.0
R1149TS434_3,True,True,False,121.7781383553744,26.008,0.6809420721402244,0.010115778,76.5,48.0,30.0
R1149TS392_5,True,True,False,33.67051218983739,27.016,0.6609578457725056,0.009183746,63.0,71.0,67.0
R1149TS147_5,True,True,False,148.0456824421638,30.847,0.7002615525760917,0.009883517,20.0,28.0,42.0
R1149TS235_4,True,True,False,38.160713156966054,26.411,0.6395378969563328,0.011147055,71.5,100.0,17.0
R1149TS227_4,True,True,False,115.00340685786473,28.024,0.6901062461183568,0.008851916,48.0,37.0,81.0
R1149TS287_3,True,True,False,102.60949624706295,31.25,0.7006124923241643,0.008841032,18.0,27.0,82.0
R1149TS128_5,True,True,False,83.96394885773401,28.629,0.7128740201838111,0.010780805,39.5,14.0,23.0
R1149TS227_1,True,True,False,134.1716142737388,30.04,0.6878655700236604,0.009364484,26.0,39.0,62.0
R1149TS287_4,True,True,True,-60.47733157189804,30.242,0.6965193387950877,0.010036557,24.5,33.0,35.0
R1149TS248_4,True,True,False,-19.58316341410662,28.831,0.6993199633021616,0.011201808,36.0,29.0,16.0
R1149TS119_5,False,False,False,-138.65834465301774,33.266,0.710194677321311,0.011054794,9.5,17.0,18.0
R1149TS054_2,True,True,False,145.47565956377053,26.613,0.7023290250929518,0.00981752,68.0,24.0,49.0
R1149TS248_3,True,True,False,-18.997327798667758,33.669,0.7300407217241546,0.010985534,8.0,6.0,19.0
R1149TS235_2,True,True,False,-39.11483595153939,28.226,0.6651676350818458,0.008744354,44.5,63.0,84.0
R1149TS054_3,True,True,False,41.125625025850795,24.395,0.6810474979478183,0.009423258,103.0,47.0,58.0
R1149TS128_2,True,True,False,30.889932309397786,29.032,0.7122704373159072,0.009375684,33.5,16.0,61.0
R1149TS128_3,True,True,False,-47.394282880021066,28.629,0.6855631025768965,0.011634723,39.5,44.0,12.0
R1149TS054_4,True,True,False,43.53656341110277,28.024,0.6966481031402405,0.009833788,48.0,32.0,48.0
R1149TS035_5,True,True,True,-77.73114664519487,28.226,0.701306153326144,0.009040443,44.5,25.0,73.0
R1149TS248_2,True,True,False,34.629207718548145,29.839,0.7127170886381561,0.009293813,27.5,15.0,64.0
R1149TS232_4,True,True,False,142.33397164829833,31.653,0.708445331487711,0.010165693,13.5,18.0,28.0
R1149TS434_5,True,True,False,-134.865058715132,26.411,0.6806636192438313,0.008603876,71.5,49.0,89.0
R1149TS434_2,True,True,False,124.09900295937823,30.242,0.6948252828791708,0.009852733,24.5,35.0,46.0
R1149TS147_1,True,True,False,124.79512359047662,26.21,0.6970569299361007,0.009790813,74.0,31.0,50.0
R1149TS125_3,True,False,True,-96.7814888599103,34.476,0.7202705742930656,0.014620877,6.0,9.5,2.5
R1149TS128_1,True,True,True,-88.00358021025912,42.137,0.5811751312218333,0.013255429,3.0,108.0,7.0
R1149TS076_2,True,True,False,-24.423211569455262,27.823,0.7368604033543112,0.010108867,52.0,4.0,32.0
R1149TS147_4,True,True,False,105.61200242057078,27.419,0.6708614334690725,0.008950699,57.5,60.0,76.0
R1149TS076_5,False,True,False,-58.76067119397702,38.508,0.7460380820550789,0.013854706,4.0,1.0,5.0
R1149TS035_3,True,True,False,-113.0507620749414,42.944,0.7394936342126865,0.013434686,2.0,2.0,6.0
R1149TS035_1,True,True,False,-12.503042995355353,25.403,0.6581990696776062,0.008081652,90.0,73.0,104.0
R1149TS434_4,True,True,False,119.04175303939444,28.226,0.6798934475043861,0.010006423,44.5,52.0,37.0
R1149TS147_2,True,True,False,127.03323687282439,28.831,0.6818755782856128,0.009264744,36.0,46.0,65.0
R1149TS434_1,True,True,False,128.35487435091704,26.815,0.6627162838609989,0.008932807,65.5,68.0,77.0
R1149TS128_4,True,True,True,-108.17278482592909,30.444,0.7201958827600637,0.012214812,23.0,11.0,8.0
R1149TS235_3,True,True,False,-33.23087314610204,24.194,0.6436929614189831,0.010800913,104.0,92.0,22.0
R1149TS227_5,True,True,False,142.78876668418945,28.831,0.6866270179787217,0.008885881,36.0,40.0,78.0
R1149TS119_2,True,False,False,167.45135457043676,28.629,0.7303199793977048,0.010113782,39.5,5.0,31.0
R1149TS147_3,True,True,False,123.34841054877755,27.823,0.6971366028746641,0.008683397,52.0,30.0,85.0
R1149TS076_1,True,False,False,-131.66205251282219,30.645,0.7372249674065251,0.009450095,21.5,3.0,57.0
R1149TS110_2,True,False,False,97.31276063572318,44.153,0.7029487035039997,0.014606793,1.0,23.0,4.0
R1149TS416_3,True,False,True,-96.7814888599103,34.476,0.7202705742930656,0.014620877,6.0,9.5,2.5
R1149TS235_1,True,True,False,32.360333067098416,27.218,0.6515419530332051,0.009860502,60.5,78.0,45.0
R1149TS119_1,True,False,False,-138.54390458768196,34.476,0.721538251058282,0.011215978,6.0,8.0,15.0
R1149TS035_2,True,True,False,126.00853098177366,27.419,0.6953001014019218,0.008622617,57.5,34.0,88.0
R1149TS054_1,True,True,True,-93.78050320258008,33.266,0.7163944763425732,0.015932269,9.5,12.0,1.0
R1149TS248_1,True,True,True,-112.44483068660415,31.452,0.7067593233433662,0.0076448,16.0,20.0,116.0
R1149TS232_5,True,True,True,-104.87780483458478,31.855,0.7074820132305365,0.012061877,12.0,19.0,9.0
