target,gr_code,model,global_rmsd,lddt,tm_score,gdt_ts,clashscore,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base,id
R1107,29,1,17.15,0.424614727,0.2762,35.145,0.45,,,,,,,,1
R1107,29,2,17.1,0.446424223,0.2801,34.42,0,,,,,,,,2
R1107,35,1,20.6,0.342770003,0.2326,19.203,1.36,,,,,,,,3
R1107,35,2,22.06,0.336103827,0.1928,19.203,0.9,,,,,,,,4
R1107,35,3,21.47,0.347585564,0.2106,19.928,1.81,,,,,,,,5
R1107,35,4,22.82,0.320402632,0.1507,18.478,2.26,,,,,,,,6
R1107,35,5,21.8,0.339107004,0.2407,18.478,3.17,,,,,,,,7
R1107,54,1,7.74,0.580227737,0.3683,36.232,0.45,,,,,,,,8
R1107,54,2,6.43,0.619842492,0.3718,46.014,1.36,,,,,,,,9
R1107,54,3,8.13,0.579539598,0.3739,43.116,1.36,,,,,,,,10
R1107,54,4,7.51,0.598541314,0.3681,38.406,10.85,,,,,,,,11
R1107,54,5,7.81,0.572046522,0.3958,40.217,0.9,,,,,,,,12
R1107,76,1,20.26,0.37004497,0.232,20.652,7.69,,,,,,,,13
R1107,76,2,19.96,0.407549996,0.2553,23.188,7.69,,,,,,,,14
R1107,76,3,18.98,0.389185447,0.2987,22.464,7.24,,,,,,,,15
R1107,76,4,22.94,0.383595374,0.2293,19.928,6.78,,,,,,,,16
R1107,76,5,18.23,0.406659379,0.228,22.826,9.05,,,,,,,,17
R1107,81,1,14.08,0.527623285,0.3328,41.304,0.45,,,,,,,,18
R1107,81,2,14.1,0.526130899,0.3296,41.304,0.45,,,,,,,,19
R1107,81,3,13.1,0.52645373,0.3225,42.754,1.36,,,,,,,,20
R1107,81,4,8.8,0.481023771,0.3243,40.217,0.45,,,,,,,,21
R1107,91,1,58.64,0.223519367,0.1538,13.406,1.39,,,,,,,,22
R1107,91,2,62.82,0.211355154,0.1407,15.58,4.63,,,,,,,,23
R1107,91,3,63,0.218899203,0.1345,14.13,0.93,,,,,,,,24
R1107,91,4,67.23,0.224543081,0.1521,16.304,0.93,,,,,,,,25
R1107,91,5,67.98,0.226069448,0.1633,18.478,0.93,,,,,,,,26
R1107,97,1,17.32,0.33744046,0.2087,30.797,0.45,,,,,,,,27
R1107,119,1,17.77,0.454619598,0.2513,27.899,3.62,,,,,,,,28
R1107,119,2,19.69,0.446924044,0.2409,24.275,4.07,,,,,,,,29
